# estimate_k1_margin seed=20260903 nkeys=10000 nwrong=1000 tau=8 dtype=float16 device=cpu shard=15/30
key_index,col,true_count,wrong_max,wrong_mean,wrong_ge_tau
15,0,32,0,0.0000,0
15,1,30,0,0.0000,0
15,2,14,0,0.0000,0
15,3,31,0,0.0000,0
45,0,32,0,0.0000,0
45,1,32,0,0.0000,0
45,2,30,0,0.0000,0
45,3,24,0,0.0000,0
75,0,23,0,0.0000,0
75,1,31,0,0.0000,0
75,2,31,0,0.0000,0
75,3,31,0,0.0000,0
105,0,31,0,0.0000,0
105,1,23,0,0.0000,0
105,2,30,0,0.0000,0
105,3,32,0,0.0000,0
135,0,31,0,0.0000,0
135,1,23,0,0.0000,0
135,2,30,0,0.0000,0
135,3,32,0,0.0000,0
165,0,32,0,0.0000,0
165,1,22,0,0.0000,0
165,2,32,0,0.0000,0
165,3,32,0,0.0000,0
195,0,31,0,0.0000,0
195,1,31,0,0.0000,0
195,2,21,0,0.0000,0
195,3,32,0,0.0000,0
225,0,31,0,0.0000,0
225,1,16,0,0.0000,0
225,2,30,0,0.0000,0
225,3,32,0,0.0000,0
255,0,31,0,0.0000,0
255,1,31,0,0.0000,0
255,2,32,0,0.0000,0
255,3,30,0,0.0000,0
285,0,30,0,0.0000,0
285,1,31,0,0.0000,0
285,2,32,0,0.0000,0
285,3,31,0,0.0000,0
315,0,32,0,0.0000,0
315,1,32,0,0.0000,0
315,2,16,0,0.0000,0
315,3,32,0,0.0000,0
345,0,30,0,0.0000,0
345,1,24,0,0.0000,0
345,2,22,0,0.0000,0
345,3,30,0,0.0000,0
375,0,32,0,0.0000,0
375,1,20,0,0.0000,0
375,2,23,0,0.0000,0
375,3,30,0,0.0000,0
405,0,24,0,0.0000,0
405,1,31,0,0.0000,0
405,2,31,0,0.0000,0
405,3,32,0,0.0000,0
435,0,24,0,0.0000,0
435,1,31,0,0.0000,0
435,2,31,0,0.0000,0
435,3,19,0,0.0000,0
465,0,31,0,0.0000,0
465,1,30,0,0.0000,0
465,2,31,0,0.0000,0
465,3,32,0,0.0000,0
495,0,31,0,0.0000,0
495,1,30,0,0.0000,0
495,2,30,0,0.0000,0
495,3,24,0,0.0000,0
525,0,29,0,0.0000,0
525,1,32,0,0.0000,0
525,2,24,0,0.0000,0
525,3,30,0,0.0000,0
555,0,24,0,0.0000,0
555,1,22,0,0.0000,0
555,2,31,0,0.0000,0
555,3,30,0,0.0000,0
585,0,29,0,0.0000,0
585,1,31,0,0.0000,0
585,2,30,0,0.0000,0
585,3,31,0,0.0000,0
615,0,31,0,0.0000,0
615,1,32,0,0.0000,0
615,2,31,0,0.0000,0
615,3,29,0,0.0000,0
645,0,32,0,0.0000,0
645,1,30,0,0.0000,0
645,2,31,0,0.0000,0
645,3,16,0,0.0000,0
675,0,23,0,0.0000,0
675,1,23,0,0.0000,0
675,2,23,0,0.0000,0
675,3,32,0,0.0000,0
705,0,31,0,0.0000,0
705,1,22,0,0.0000,0
705,2,32,0,0.0000,0
705,3,32,0,0.0000,0
735,0,31,0,0.0000,0
735,1,31,0,0.0000,0
735,2,31,0,0.0000,0
735,3,31,0,0.0000,0
765,0,32,0,0.0000,0
765,1,30,0,0.0000,0
765,2,31,0,0.0000,0
765,3,24,0,0.0000,0
795,0,32,0,0.0000,0
795,1,31,0,0.0000,0
795,2,22,0,0.0000,0
795,3,24,0,0.0000,0
825,0,31,0,0.0000,0
825,1,31,0,0.0000,0
825,2,24,0,0.0000,0
825,3,23,0,0.0000,0
855,0,31,0,0.0000,0
855,1,32,0,0.0000,0
855,2,30,0,0.0000,0
855,3,31,0,0.0000,0
885,0,31,0,0.0000,0
885,1,32,0,0.0000,0
885,2,31,0,0.0000,0
885,3,31,0,0.0000,0
915,0,32,0,0.0000,0
915,1,31,0,0.0000,0
